tanggal,beras,beras_kb1,beras_kb2,beras_km1,beras_km2,beras_ks1,beras_ks2,daging_ayam,daging_ayam_rs,daging_sapi,daging_sapi_k1,daging_sapi_k2,telur_ayam,telur_ayam_rs,bawang_merah,bawang_merah_sedang,bawang_putih,bawang_putih_sedang,cabai_merah,cabai_merah_besar,cabai_merah_keriting,cabai_rawit,cabai_rawit_hijau,cabai_rawit_merah,minyak_goreng,minyak_goreng_curah,minyak_goreng_merk1,minyak_goreng_merk2,gula_pasir,gula_pasir_premium,gula_pasir_lokal
17/ 06/ 2019,"11,700","10,650","10,250","11,750","11,550","13,050","12,650","34,550","34,550","118,450","122,000","113,100","25,000","25,000","39,500","39,500","41,550","41,550","50,150","48,200","49,700","39,550","38,600","39,600","13,150","11,250","14,300","13,600","13,850","15,000","13,050"
18/ 06/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","34,300","34,300","118,400","121,950","113,050","25,000","25,000","39,500","39,500","41,450","41,450","49,650","48,100","49,550","39,100","38,100","38,900","13,150","11,250","14,250","13,650","13,850","14,950","13,000"
19/ 06/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","34,200","34,200","118,400","121,950","113,050","24,900","24,900","39,400","39,400","41,350","41,350","49,650","48,500","49,500","39,550","39,000","39,000","13,150","11,250","14,250","13,650","13,850","15,000","13,000"
20/ 06/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","34,150","34,150","118,400","121,950","113,050","24,800","24,800","39,450","39,450","41,200","41,200","49,950","49,050","49,550","40,100","39,100","39,850","13,150","11,250","14,350","13,650","13,850","15,000","13,000"
21/ 06/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","33,950","33,950","118,400","121,950","113,000","24,750","24,750","39,200","39,200","41,150","41,150","51,300","50,350","51,300","41,150","40,400","40,750","13,150","11,250","14,350","13,650","13,850","15,000","13,000"
24/ 06/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","33,300","33,300","118,350","121,900","112,950","24,850","24,850","39,200","39,200","40,600","40,600","52,750","53,000","52,200","42,650","42,200","41,550","13,150","11,200","14,350","13,650","13,850","15,000","13,000"
25/ 06/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,600","33,050","33,050","118,200","121,750","112,850","24,950","24,950","39,150","39,150","40,650","40,650","53,100","52,600","52,550","42,600","42,300","41,500","13,150","11,200","14,350","13,600","13,850","15,000","13,000"
26/ 06/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","32,850","32,850","118,300","121,800","112,850","24,900","24,900","38,850","38,850","40,500","40,500","53,800","53,400","52,900","42,550","42,350","40,950","13,150","11,200","14,350","13,600","13,850","15,000","13,000"
27/ 06/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,600","32,750","32,750","118,200","121,750","112,800","24,950","24,950","38,850","38,850","40,350","40,350","53,850","53,700","53,150","42,800","42,700","41,050","13,150","11,200","14,350","13,600","13,850","15,000","13,000"
28/ 06/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,600","32,650","32,650","118,150","121,750","112,750","24,850","24,850","38,550","38,550","40,150","40,150","54,400","54,550","53,700","43,800","43,850","42,100","13,150","11,200","14,350","13,600","13,850","15,000","13,000"
01/ 07/ 2019,"11,700","10,650","10,250","11,750","11,600","13,050","12,600","32,550","32,550","118,100","121,600","112,650","24,950","24,950","37,400","37,400","39,350","39,350","55,050","54,750","54,800","46,100","46,100","44,200","13,150","11,200","14,300","13,600","13,850","15,000","13,000"
02/ 07/ 2019,"11,700","10,650","10,250","11,750","11,600","13,050","12,650","32,550","32,550","117,900","121,500","112,600","24,900","24,900","37,100","37,100","39,200","39,200","55,350","55,200","54,800","47,400","47,400","45,350","13,100","11,200","14,300","13,600","13,850","15,000","13,000"
03/ 07/ 2019,"11,700","10,650","10,250","11,750","11,600","13,050","12,650","32,850","32,850","117,900","121,500","112,700","24,900","24,900","37,100","37,100","39,050","39,050","56,150","56,050","55,850","49,500","48,900","48,400","13,100","11,200","14,300","13,600","13,850","15,000","13,000"
04/ 07/ 2019,"11,750","10,700","10,300","11,800","11,650","13,100","12,700","33,450","33,450","118,200","121,850","112,850","25,000","25,000","36,900","36,900","38,850","38,850","57,850","56,850","57,700","52,400","50,650","51,800","13,150","11,200","14,350","13,600","13,850","15,000","13,000"
05/ 07/ 2019,"11,700","10,650","10,250","11,750","11,600","13,050","12,650","33,500","33,500","117,750","121,300","112,600","24,900","24,900","36,600","36,600","38,800","38,800","57,300","56,250","57,150","52,650","51,450","52,100","13,100","11,200","14,300","13,600","13,850","15,000","13,000"
08/ 07/ 2019,"11,700","10,650","10,250","11,800","11,600","13,000","12,650","34,350","34,350","117,450","120,950","112,300","24,900","24,900","35,900","35,900","38,350","38,350","58,350","56,700","58,150","54,500","52,750","54,100","13,100","11,200","14,300","13,600","13,850","15,000","13,000"
09/ 07/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","34,800","34,800","117,750","121,300","112,600","24,900","24,900","35,950","35,950","38,100","38,100","58,450","56,400","58,400","55,050","53,150","55,300","13,100","11,200","14,300","13,600","13,850","15,000","13,000"
10/ 07/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","35,300","35,300","117,750","121,250","112,600","24,950","24,950","35,650","35,650","37,900","37,900","58,150","56,150","58,250","55,800","53,950","56,300","13,100","11,150","14,300","13,600","13,850","15,000","13,000"
11/ 07/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","35,500","35,500","117,750","121,300","112,650","24,800","24,800","35,000","35,000","37,550","37,550","58,000","56,050","58,200","56,750","54,900","57,000","13,100","11,150","14,300","13,600","13,850","15,000","13,000"
12/ 07/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","35,800","35,800","117,700","121,200","112,600","24,800","24,800","34,850","34,850","37,400","37,400","58,450","56,550","58,750","56,900","54,850","57,900","13,100","11,150","14,300","13,600","13,850","15,000","13,000"
15/ 07/ 2019,"11,700","10,650","10,250","11,800","11,600","13,050","12,650","36,550","36,550","117,550","121,050","112,700","24,750","24,750","34,650","34,650","37,450","37,450","60,000","58,350","60,450","60,600","57,150","63,100","13,100","11,150","14,300","13,600","13,850","15,000","12,950"
